#,Result,Protocol,Host,URL,Body,Caching,Content-Type,Process,Comments,Custom,Privacy Info
7,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
9,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
10,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
11,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
12,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
13,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
16,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
17,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
18,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:1900,,,
20,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=message-groups&bucket=main,179,"max-age=60; Expires: Wed, 06 Jan 2021 19:21:45 GMT",application/json,firefox:1900,,,
22,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/message-groups/changeset?_expected=1595616291726,"1,146",,application/json,firefox:1900,,,
24,200,HTTPS,content-signature-2.cdn.mozilla.net,/chains/remote-settings.content-signature.mozilla.org-2021-02-13-15-04-04.chain,"5,340",,binary/octet-stream,firefox:1900,,,
26,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=cfr-fxa&bucket=main,172,"max-age=60; Expires: Wed, 06 Jan 2021 19:23:31 GMT",application/json,firefox:1900,,,
29,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/cfr-fxa/changeset?_expected=1609784305674,"1,503",,application/json,firefox:1900,,,
30,200,HTTPS,www.target.com,/,"66,746","max-age=0, no-cache, no-store",text/html; charset=utf-8,firefox:1900,,,Sets cookies without P3P
32,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=cfr&bucket=main,168,"max-age=60; Expires: Wed, 06 Jan 2021 19:21:45 GMT",application/json,firefox:1900,,,
39,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB4_Organization-201230-1609344974461?wid=526&qlt=80&fmt=webp,"26,116","Expires: Thu, 07 Jan 2021 03:07:20 GMT",image/webp,firefox:1900,,,
40,200,HTTPS,target.scene7.com,/is/image/Target/HomeRefresh_1wk1_SH_D-201230-1609359209869?wid=2160&qlt=80&fmt=webp,"83,054","Expires: Thu, 07 Jan 2021 03:06:52 GMT",image/webp,firefox:1900,,,
41,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB1_BedBath-201228-1609188259877?wid=526&qlt=80&fmt=webp,"33,540","Expires: Thu, 07 Jan 2021 03:07:23 GMT",image/webp,firefox:1900,,,
42,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB1_New-201218-1608322873186?wid=526&qlt=80&fmt=webp,"45,162","Expires: Thu, 07 Jan 2021 03:06:52 GMT",image/webp,firefox:1900,,,
43,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB2_HealthyEating-201216-1608139093528?wid=526&qlt=80&fmt=webp,"36,274","Expires: Thu, 07 Jan 2021 03:06:52 GMT",image/webp,firefox:1900,,,
45,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=partitioning-exempt-urls&bucket=main,189,"max-age=60; Expires: Wed, 06 Jan 2021 19:29:52 GMT",application/json,firefox:1900,,,
46,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/cfr/changeset?_expected=1608215599386,"22,591",,application/json,firefox:1900,,,
49,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/partitioning-exempt-urls/changeset?_expected=1592906663254,748,,application/json,firefox:1900,,,
52,303,HTTPS,snippets.cdn.mozilla.net,/6/Firefox/84.0.1/20201221152838/WINNT_x86_64-msvc/en-US/release/Windows_NT%2010.0/default/default/,0,"public, max-age=86400",text/html; charset=UTF-8,firefox:1900,,,
54,403,HTTPS,www.quizlet.com,/,"55,025","private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0; Expires: Thu, 01 Jan 1970 00:00:01 GMT",text/html; charset=UTF-8,firefox:1900,,,Sets cookies without P3P
55,200,HTTPS,snippets.cdn.mozilla.net,/us-west/bundles-pregen/Firefox/en-us/default.json,"7,240",max-age=600,application/json,firefox:1900,,,
59,200,HTTPS,www.quizlet.com,/cdn-cgi/images/trace/captcha/nojs/h/transparent.gif?ray=60d7f25cebf92ab8,42,"max-age=7200; Expires: Wed, 06 Jan 2021 21:46:43 GMT",image/gif,firefox:1900,,,
60,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=whats-new-panel&bucket=main,180,"max-age=60; Expires: Wed, 06 Jan 2021 18:52:57 GMT",application/json,firefox:1900,,,
